plot_ID,SITE,line,genotype,location,lib_ID,BIOMASS,TC,AREA,SLA,FRESH,DRY,RWC,OP,MDWP,Group,Population
B1504,BFL,GRA.1.G1,GRA1,West,PD21-3,31.09,108,7.52,229.969419,0.0966,0.0327,97.40853659,339,10.5,West_BFL,HAL_I
B1505,BFL,SMF.BK.F,SMFBK,CenTex,PD21-4,28.89,173,6.35,222.8070175,0.0865,0.0285,91.91759113,391,10,CenTex_BFL,HAL_I
B1506,BFL,PAJ.17.G1,PAJ17,Sym,PD3-23,20.79,106,5.25,261.1940299,0.0609,0.0201,87.93103448,336,12.5,Sym_BFL,HAL_II
B1507,BFL,SVN.3.G2,SVN3,West,PD9-29,17.29,67,5.38,243.438914,0.0722,0.0221,92.09558824,344,9.5,West_BFL,HAL_I
B1508,BFL,CLA.1A.G1,CLA1A,West,PD21-5,5.89,47,8,221.6066482,0.1332,0.0361,93.81642512,378,8,West_BFL,HAL_I
B1509,BFL,CNF.2.G1,CNF2,West,PD21-6,11.89,65,4.65,254.0983607,0.0605,0.0183,87.01030928,384,9.5,West_BFL,HAL_I
B1510,BFL,KER.10.G1,KER10,CenTex,PD21-7,7.99,75,5.21,236.8181818,0.0715,0.022,97.82608696,288,12.5,CenTex_BFL,HAL_I
B1511,BFL,SAP.6.G1,SAP6,TexMex,PD21-8,84.09,387,6.75,261.627907,0.1001,0.0258,NA,323,8,TexMex_BFL,HAL_II
B1512,BFL,ABI.1.G3,ABI1,CenTex,PD14-10,41.89,363,4.25,256.0240964,0.049,0.0166,89.01098901,299,9.5,CenTex_BFL,HAL_I
B1513,BFL,AWR.1.G1,AWR1,Filipes,PD14-11,170.1,233,7.5,230.0613497,0.0958,0.0326,98.59594384,285,13.5,Filipes_BFL,FIL
B1514,BFL,ARA.1.G1,ARA1,Filipes,PD21-9,569.5,403,17.26,197.2571429,0.2546,0.0875,89.69404187,279,14.5,Filipes_BFL,FIL
B1515,BFL,SAN.9.G1,SAN9,TexMex,PD21-10,51.99,342,3.06,285.9813084,0.0394,0.0107,93.79084967,257,10.5,TexMex_BFL,HAL_II
B1516,BFL,ZAP.1.G1,ZAP1,Filipes,PD21-11,403.8,239,15.71,237.6701967,0.2122,0.0661,90.57656541,382,12.5,Coastal_BFL,FIL
B1517,BFL,BAN.17.G1,BAN17,CenTex,PD21-12,101.69,324,6.34,232.2344322,0.0891,0.0273,92.79279279,427,15,CenTex_BFL,HAL_I
B1518,BFL,JHC.3.G2,JHC3,TexMex,PD21-13,128.3,710,5.34,207.7821012,0.0747,0.0257,85.06944444,276,9,TexMex_BFL,HAL_II
B1519,BFL,SEV.2.G1,SEV2,West,PD9-26,112.8,288,7.56,200.530504,0.1427,0.0377,94.85094851,537,13,West_BFL,HAL_I
B1520,BFL,NDP.2.G3,NDP2,Filipes,PD21-14,379.2,536,10.1,186.0036832,0.1484,0.0543,91.71539961,441,15,Filipes_BFL,FIL
