,genotype,plot_ID,SITE,line,location,BIOMASS,AREA,SLA,FRESH,DRY,RWC,OP,MDWP,TC,SC,ETSC,Population,subpopulation,Group,LATITIUDE,LONGITUDE,RAWREADCOUNT,FILTEREDREADCOUNT,COUNTMAPPED,PERCENTMAPPED
PD23-11,PDL,B1739,BFL,PDL.4.G1,West,NA,3.72,254.7945205,0.0471,0.0146,89.04109589,292,15.5,28,112.7,3155.6,HAL_I,HAL_I_II,HAL_I_BFL,34.94755,-101.68897,6596386,3681646,2320616,63
PD23-12,AWR,B1740,BFL,AWR.1.G1,Filipes,NA,NA,NA,NA,NA,NA,366,15,NA,210,NA,FIL,FIL_I,FIL_BFL,28.285083,-96.945733,7709692,4269179,2790666,65.4
PD23-13,WBW,B1741,BFL,WBW.16.G4,Sym,4.99,2.58,209.7560976,0.0328,0.0123,92.34234234,337,16,88,25.5,2244,HAL_I,HAL_I_I,HAL_I_BFL,30.432931,-99.795803,7566693,4296477,2681598,62.4
PD23-15,TNK,K2301,KINGS,TNK.2.F,West,27.99,7.99,207.5324675,0.1263,0.0385,80.1826484,646,23,101,44,4444,HAL_I,HAL_I_II,HAL_I_KINGS,34.9369333,-104.6939667,7625963,4352064,2439804,56.1
PD23-16,MKF,K2304,KINGS,MKF.1.G1,CenTex,89.99,13.25,225.3401361,0.1974,0.0588,89.24661945,687,20.5,230,130.5,30015,HAL_I,HAL_I_I,HAL_I_KINGS,30.1777222,-97.7250556,7959487,4683231,2839592,60.6
PD23-19,WBW,K2311,KINGS,WBW.16.G4,Sym,80.19,9.34,222.9116945,0.1291,0.0419,82.57575758,544,21,234,158,36972,HAL_I,HAL_I_I,HAL_I_KINGS,30.432931,-99.795803,4978212,3066585,1850285,60.3
PD23-20,MKF,K2313,KINGS,MKF.1.G1,CenTex,107.89,9.4,187.6247505,0.1394,0.0501,80.16157989,571,21,260,177,46020,HAL_I,HAL_I_I,HAL_I_KINGS,30.1777222,-97.7250556,7117610,4303708,2590356,60.2
PD23-21,WBW,K2315,KINGS,WBW.16.G4,Sym,47.39,7.14,202.266289,0.0968,0.0353,86.37640449,531,19,210,101,21210,HAL_I,HAL_I_I,HAL_I_KINGS,30.432931,-99.795803,8300913,4448756,2676214,60.2
PD23-23,JHC,K2401,KINGS,JHC.3.G2,TexMex,107.99,5.29,181.7869416,0.0715,0.0291,62.26138032,599,22,363,94,34122,HAL_II,HAL_II_II,HAL_II_KINGS,30.20725,-98.3069667,6380705,3774700,2321499,61.5
PD23-25,KER,K2405,KINGS,KER.10.G1,CenTex,110.79,9.31,189.2276423,0.137,0.0492,80.69852941,628,25,341,74,25234,HAL_I,HAL_I_I,HAL_I_KINGS,30.039708,-99.397314,10969302,6509658,3341321,51.3
PD23-26,HDS,K2406,KINGS,HDS.1.G1,CenTex,66.89,9.71,205.2854123,0.1277,0.0473,77.4566474,642,20,263,72,18936,HAL_I,HAL_I_I,HAL_I_KINGS,30,-98.0121,10351485,6403686,3543425,55.3
PD23-27,LMA,K2408,KINGS,LMA.4.G2,CenTex,101.69,11.06,190.6896552,0.1722,0.058,81.98133525,596,19.5,356,106,37736,HAL_I,HAL_I_I,HAL_I_KINGS,30.0163889,-99.7313889,11070246,6433217,3500540,54.4
PD23-28,HWY,K2410,KINGS,HWY.1.G1,West,81.09,10.23,220.4741379,0.1499,0.0464,83.40048348,505,21.5,185,105,19425,HAL_I,HAL_I_II,HAL_I_KINGS,34.4690639,-101.110325,8512134,5215553,2543327,48.8
PD23-29,CRS,K2417,KINGS,CRS.3.G1,West,60.29,13.13,216.3097199,0.1929,0.0607,81.00490196,618,17,157,71.5,11225.5,HAL_I,HAL_I_II,HAL_I_KINGS,34,-101.0568,7942463,4631768,2526842,54.6
PD23-30,SPR,K2502,KINGS,SPR.30.G3,West,120.29,18.37,182.9681275,0.3371,0.1004,95.86877278,609,19.5,219,72,15768,HAL_I,HAL_I_II,HAL_I_KINGS,30.67225,-104.1276944,6754719,4074679,2235766,54.9
PD23-6,HDS,B1727,BFL,HDS.1.G1,CenTex,7.09,4.24,247.9532164,0.0463,0.0171,75.06426735,359,15,54,116,6264,HAL_I,HAL_I_I,HAL_I_BFL,30,-98.0121,6994849,3907012,2514515,64.4
PD23-7,KIC,B1728,BFL,KIC.6.G3,TexMex,121.39,3.48,210.9090909,0.0427,0.0165,89.41979522,347,14.5,464,110.7,51364.8,HAL_II,HAL_II_II,HAL_II_BFL,29.6184944,-100.443,6744436,4021010,2641038,65.7
PD23-8,STW,B1731,BFL,STW.12.G1,CenTex,80.29,5.26,213.8211382,0.0722,0.0246,84.6975089,453,15,389,123.5,48041.5,HAL_I,HAL_I_I,HAL_I_BFL,32.60925,-98.4895667,7690888,4527043,2752640,60.8
PD23-9,HWY,B1735,BFL,HWY.1.G1,West,11.19,6.27,209,0.0835,0.03,86.56957929,383,17,74,112.5,8325,HAL_I,HAL_I_II,HAL_I_BFL,34.4690639,-101.110325,6461681,3858326,2313784,60
PD24-10,GNF,B1720,BFL,GNF.1.G1,Filipes,164.9,7.67,198.7046632,0.1041,0.0386,83.01647655,492,16,304,194,58976,FIL,FIL_I,FIL_BFL,29.3119167,-97.3001333,8713093,4428754,3229608,72.9
PD24-12,BUS,K1104(2),KINGS,BUS.3.G1,West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HAL_I,HAL_I_II,HAL_I_KINGS,35.26486,-102.06054,6030462,3886416,2926996,75.3
PD24-13,POI,K1510,KINGS,POI.3.G4,Sym,188.99,6.65,191.091954,0.0915,0.0348,94.02985075,637,23,760,305.5,232180,HAL_II,HAL_II_I,HAL_II_KINGS,26.0642778,-97.2375278,7742518,3245463,2067754,63.7
PD24-18,PIS,K1807,KINGS,PIS.2.G2,Sym,139.69,6.05,206.4846416,0.0771,0.0293,81.15449915,535,16.5,583,148.5,86575.5,HAL_II,HAL_II_I,HAL_II_KINGS,26.0173056,-97.2735278,8721203,4365863,2887795,66.1
PD24-19,HUE,K2007,KINGS,HUE.19.G2,Sym,150.19,9.44,205.2173913,0.1219,0.046,76.35814889,716,20.5,507,225.5,114328.5,HAL_II,HAL_II_I,HAL_II_KINGS,30.22546,-99.01559,9067319,4352308,3052019,70.1
PD24-2,HDS,K2607,KINGS,HDS.1.G1,CenTex,107.59,7.5,167.4107143,0.1159,0.0448,77.2826087,564,20.5,299,136.5,40813.5,HAL_I,HAL_I_I,HAL_I_KINGS,30,-98.0121,6706384,4246831,3453820,81.3
PD24-21,HUE,K2214,KINGS,HUE.19.G2,Sym,150.49,9.14,203.1111111,0.1079,0.045,73.13953488,606,20,205,258,52890,HAL_II,HAL_II_I,HAL_II_KINGS,30.22546,-99.01559,8520434,3909027,2710521,69.3
PD24-23,CRS,K2402,KINGS,CRS.3.G1,West,74.79,19.96,197.8196234,0.3426,0.1009,81.32570659,589,21,215,68,14620,HAL_I,HAL_I_II,HAL_I_KINGS,34,-101.0568,9028378,4459526,3169469,71.1
PD24-25,ZAP,K2509,KINGS,ZAP.1.G1,Filipes,442.5,20.51,190.4363974,0.324,0.1077,93.47450303,608,20.5,487,488.5,237899.5,FIL,FIL_II,FIL_KINGS,27.021,-99.1250833,9162476,4126467,2762294,66.9
PD24-27,PDB,K2514,KINGS,PDB.2.G2,West,97.79,11.88,214.8282098,0.1759,0.0553,82.0966644,637,20.5,227,175,39725,HAL_I,HAL_I_II,HAL_I_KINGS,34.92866,-101.63664,9209019,4668689,3363709,72
PD24-28,KNT,K2603,KINGS,KNT.14A.G2,West,121.89,14.69,188.3333333,0.2587,0.078,94.11458333,549,14.5,373,97.5,36367.5,HAL_I,HAL_I_II,HAL_I_KINGS,31.0498889,-104.212,8718375,4293554,2958711,68.9
PD24-30,SPR,K2615,KINGS,SPR.30.G3,West,110.49,14.45,161.0925307,0.2196,0.0897,74.870317,709,18,222,137,30414,HAL_I,HAL_I_II,HAL_I_KINGS,30.67225,-104.1276944,7958794,4080371,2885981,70.7
PD24-4,SMT,K2701,KINGS,SMT.1.G2,TexMex,277.9,10.9,170.846395,0.1675,0.0638,79.58557176,505,14.5,341,299.5,102129.5,HAL_II,HAL_II_II,HAL_II_KINGS,31.5616389,-98.5992222,9465088,4427935,3320429,75
PD24-5,RAN,K2705,KINGS,RAN.5.G1,West,82.49,14.35,190.8244681,0.2071,0.0752,74.56189938,511,18,201,77.5,15577.5,HAL_I,HAL_I_II,HAL_I_KINGS,33.46015,-101.91432,8067188,3889183,2855225,73.4
PD24-6,MCR,K2709,KINGS,MCR.19.G2,West,127.69,17.53,151.6435986,0.312,0.1156,81.39245752,613,18.5,411,132,54252,HAL_I,HAL_I_II,HAL_I_KINGS,30.6828611,-104.13475,1055322,719250,496318,69
PD24-7,MCR,B1436,BFL,MCR.19.G2,West,119.4,9.23,217.1764706,0.1272,0.0425,90.97744361,466,13.5,186,136.5,25389,HAL_I,HAL_I_II,HAL_I_BFL,30.6828611,-104.13475,9176137,4293090,3130531,72.9
PD24-8,CRS,B1437,BFL,CRS.3.G1,West,34.49,7.52,227.8787879,0.968,0.033,NA,344,7.5,133,173.3,23048.9,HAL_I,HAL_I_II,HAL_I_BFL,34,-101.0568,1686370,1132340,827858,73.1
PD25-1,PIN,B1001,BFL,PIN.1.G2,West,NA,3.68,235.8974359,0.0493,0.0156,92.83746556,416,9.5,19,82,1558,HAL_I,HAL_I_II,HAL_I_BFL,34.31606,-111.40063,5786685,3980769,2330763,58.6
PD25-13,NMX,K2309,KINGS,NMX.1.G1,West,NA,NA,NA,NA,NA,NA,561,NA,NA,152.5,NA,HAL_I,HAL_I_II,HAL_I_KINGS,32.4299167,-106.5814833,5117470,3547273,1816546,51.2
PD25-14,HWY,K2605,KINGS,HWY.1.G1,West,71.19,13.72,200.2919708,0.1861,0.0685,93.63057325,696,17.5,310,152,47120,HAL_I,HAL_I_II,HAL_I_KINGS,34.4690639,-101.110325,5275849,1971623,997219,50.6
PD25-16,JHC,K2611,KINGS,JHC.3.G2,TexMex,41.89,4.42,179.6747967,0.0633,0.0246,78.4989858,665,21,232,103.5,24012,HAL_II,HAL_II_II,HAL_II_KINGS,30.20725,-98.3069667,4792441,3493582,1967203,56.3
PD25-19,MCM,K2712,KINGS,MCM.1.G1,Filipes,291.6,17.24,222.7390181,0.2497,0.0774,83.68139874,583,17,387,498,192726,FIL,FIL_II,FIL_KINGS,28.1518667,-98.6385217,5345719,3835278,2399199,62.6
PD25-2,EPS,B1002,BFL,EPS.1C.G1,Filipes,61.69,13.48,228.4745763,0.1982,0.059,90.74315515,406,12.5,148,210.5,31154,FIL,FIL_II,FIL_BFL,28.4825639,-100.2100444,7223423,4464133,2523388,56.5
PD25-21,ARR,K2717,KINGS,ARR.1A.G2,West,51.19,15.87,201.3959391,0.2408,0.0788,77.95957652,675,19.5,125,137.5,17187.5,HAL_I,HAL_I_II,HAL_I_KINGS,31.61339,-110.50628,5565245,4117634,2451537,59.5
PD25-22,ARR,K2717(2),KINGS,ARR.1A.G2,West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HAL_I,HAL_I_II,HAL_I_KINGS,31.61339,-110.50628,4296414,2591058,1315397,50.8
PD25-24,LMA,K2801,KINGS,LMA.4.G2,CenTex,62.29,6.45,184.8137536,0.0895,0.0349,91.30434783,550,19,274,92.5,25345,HAL_I,HAL_I_I,HAL_I_KINGS,30.0163889,-99.7313889,5223648,3884603,2176188,56
PD25-26,PIN,K2804,KINGS,PIN.1.G2,West,67.29,11.87,204.302926,0.1866,0.0581,95.11472983,497,14,171,138.5,23683.5,HAL_I,HAL_I_II,HAL_I_KINGS,34.31606,-111.40063,6482523,4600903,3117431,67.8
PD25-27,HAL,K2805,KINGS,HAL.2.G1,CenTex,125.99,8.27,190.9930716,0.1159,0.0433,81.48148148,520,20,370,117,43290,HAL_I,HAL_I_I,HAL_I_KINGS,30.185022,-97.873979,6691144,4882350,3381571,69.3
PD25-28,CCL,K2807,KINGS,CCL.1.F,West,91.59,9.74,189.1262136,0.1415,0.0515,84.19083255,533,18,222,146,32412,HAL_I,HAL_I_II,HAL_I_KINGS,34.44411,-101.07511,6098579,4497056,2932189,65.2
PD25-29,HWY,K2810,KINGS,HWY.1.G1,West,31.99,11.3,220.703125,0.158,0.0512,85.71428571,667,19,181,75.5,13665.5,HAL_I,HAL_I_II,HAL_I_KINGS,34.4690639,-101.110325,6218351,4611049,2922849,63.4
PD25-3,HUE,B1208,BFL,HUE.19.G2,Sym,64.5,5.02,229.2237443,0.0588,0.0219,96.59685864,357,13.5,246,155,38130,HAL_II,HAL_II_I,HAL_II_BFL,30.22546,-99.01559,6490931,4197429,2395874,57.1
PD25-30,STW,K2811,KINGS,STW.12.G1,CenTex,30.89,10.13,197.8515625,0.134,0.0512,92.72116461,725,19,152,92,13984,HAL_I,HAL_I_I,HAL_I_KINGS,32.60925,-98.4895667,5915518,3487778,2070338,59.4
PD25-4,HWY,B1223,BFL,HWY.1.G1,West,85.59,8.07,246.0365854,0.108,0.0328,88.3666275,451,17.5,311,95.5,29700.5,HAL_I,HAL_I_II,HAL_I_BFL,34.4690639,-101.110325,5447102,2353041,872727,37.1
PD25-5,HDS,B1308,BFL,HDS.1.G1,CenTex,42.39,5.17,220,0.0714,0.0235,86.77536232,354,13.5,297,134,39798,HAL_I,HAL_I_I,HAL_I_BFL,30,-98.0121,6200023,2822668,1377243,48.8
PD25-7,NOH,B1606,BFL,NOH.5.G2,West,33.09,6.14,217.7304965,0.0709,0.0282,81.48854962,614,9.5,272,183.5,49912,HAL_II,HAL_II_I,HAL_II_BFL,26.4949444,-97.5452778,4537196,2910761,1394309,47.9
PD25-8,CCL,B1607,BFL,CCL.1.F,West,7.79,4.25,204.3269231,0.062,0.0208,91.55555556,600,14,76,110.7,8413.2,HAL_I,HAL_I_II,HAL_I_BFL,34.44411,-101.07511,6885739,4849977,3018865,62.2
PD26-1,LMA,K2813,KINGS,LMA.4.G2,CenTex,35.59,9.46,179.8479087,0.1226,0.0526,71.28309572,710,21,185,125,23125,HAL_I,HAL_I_I,HAL_I_KINGS,30.0163889,-99.7313889,6546488,3275631,1610358,49.2
PD26-2,KER,K2814,KINGS,KER.10.G1,CenTex,98.09,9.95,199,0.1308,0.05,80.55832502,722,21.5,389,148,57572,HAL_I,HAL_I_I,HAL_I_KINGS,30.039708,-99.397314,10750726,5908375,4595894,77.8
PD26-3,KNT,K2815,KINGS,KNT.14A.G2,West,131.19,13.03,180.9722222,0.1949,0.072,88.29022989,614,20.5,465,210.5,97882.5,HAL_I,HAL_I_II,HAL_I_KINGS,31.0498889,-104.212,8108847,3977429,2304263,57.9
PD3-11,PAJ,K1103,KINGS,PAJ.17.G1,Sym,118.49,8.76,231.7460317,0.1145,0.0378,91.20095125,584,18.5,443,258.5,114515.5,HAL_II,HAL_II_I,HAL_II_KINGS,30.4853611,-99.7375556,6591959,4783993,2866928,59.9
PD3-12,PAJ,K1205,KINGS,PAJ.17.G1,Sym,55.39,10.12,236.4485981,0.1339,0.0428,87.51200768,710,12,357,143,51051,HAL_II,HAL_II_I,HAL_II_KINGS,30.4853611,-99.7375556,6421934,4517178,2727046,60.4
PD3-13,PAJ,K1506,KINGS,PAJ.17.G1,Sym,34.79,11.59,241.4583333,0.1452,0.048,90.08341057,562,19.5,184,171,31464,HAL_II,HAL_II_I,HAL_II_KINGS,30.4853611,-99.7375556,6068393,4345652,2648639,60.9
PD3-14,SEM,K1209,KINGS,SEM.2A.G2,TexMex,54.79,5.86,198.6440678,0.0716,0.0295,73.6013986,588,21.5,209,164,34276,HAL_II,HAL_II_II,HAL_II_KINGS,29.6810028,-101.3099472,5388424,3677692,2015507,54.8
PD3-15,SEM,K2107,KINGS,SEM.2A.G2,TexMex,72.09,3.93,212.4324324,0.0487,0.0185,76.4556962,570,18.5,261,208,54288,HAL_II,HAL_II_II,HAL_II_KINGS,29.6810028,-101.3099472,6032323,4387076,2902258,66.2
PD3-16,SEM,K2110,KINGS,SEM.2A.G2,TexMex,45.09,4.34,205.6872038,0.0603,0.0211,81.4968815,587,20.5,136,167,22712,HAL_II,HAL_II_II,HAL_II_KINGS,29.6810028,-101.3099472,6398111,4707207,2992205,63.6
PD3-17,SPE,K1410,KINGS,SPE.34.G2,West,42.29,6.49,186.4942529,0.0988,0.0348,86.95652174,445,15.5,172,107,18404,HAL_I,HAL_I_II,HAL_I_KINGS,30.66635,-100.9706833,7868220,5490319,3460611,63
PD3-18,SPE,K1416,KINGS,SPE.34.G2,West,65.29,7.2,203.9660057,0.1126,0.0353,89.67517401,421,14.5,256,146.5,37504,HAL_I,HAL_I_II,HAL_I_KINGS,30.66635,-100.9706833,7966772,5266580,3126527,59.4
PD3-19,SPE,K2503,KINGS,SPE.34.G2,West,107.79,7.39,186.1460957,0.1173,0.0397,93.04556355,635,20,442,133.5,59007,HAL_I,HAL_I_II,HAL_I_KINGS,30.66635,-100.9706833,7111026,5097908,3302682,64.8
PD3-21,PAJ,B1005,BFL,PAJ.17.G1,Sym,60.09,5.51,242.7312775,0.0646,0.0227,88.9596603,477,19.5,189,64,12096,HAL_II,HAL_II_I,HAL_II_BFL,30.4853611,-99.7375556,7155944,4981380,3030316,60.8
PD3-22,PAJ,B1217,BFL,PAJ.17.G1,Sym,226.4,4.48,271.5151515,0.0514,0.0165,88.80407125,526,15.5,532,150.5,80066,HAL_II,HAL_II_I,HAL_II_BFL,30.4853611,-99.7375556,7444524,5101427,3229278,63.3
PD3-23,PAJ,B1506,BFL,PAJ.17.G1,Sym,20.79,5.25,261.1940299,0.0609,0.0201,87.93103448,336,12.5,106,110,11660,HAL_II,HAL_II_I,HAL_II_BFL,30.4853611,-99.7375556,7305848,5203593,3415082,65.6
PD3-24,SEM,B1129,BFL,SEM.2A.G2,TexMex,49.09,4.92,222.6244344,0.0684,0.0221,91.68316832,475,11,81,66,5346,HAL_II,HAL_II_II,HAL_II_BFL,29.6810028,-101.3099472,8053381,5852223,3876473,66.2
PD3-25,SEM,B1206,BFL,SEM.2A.G2,TexMex,60.69,3.12,240,0.0395,0.013,96.01449275,327,7,423,135.5,57316.5,HAL_II,HAL_II_II,HAL_II_BFL,29.6810028,-101.3099472,8397594,6023403,3984572,66.2
PD3-26,SEM,B1708,BFL,SEM.2A.G2,TexMex,1.59,1.71,192.1348315,0.0231,0.0089,88.75,1090,10.5,39,50,1950,HAL_II,HAL_II_II,HAL_II_BFL,29.6810028,-101.3099472,7753252,5647159,3636863,64.4
PD3-27,SPE,B1119,BFL,SPE.34.G2,West,142.69,9.63,219.8630137,0.138,0.0438,93.26732673,354,12,320,104.5,33440,HAL_I,HAL_I_II,HAL_I_BFL,30.66635,-100.9706833,7508854,5253437,3188526,60.7
PD3-28,SPE,B1139,BFL,SPE.34.G2,West,45.89,5.25,235.426009,0.0724,0.0223,93.82022472,390,13,124,77,9548,HAL_I,HAL_I_II,HAL_I_BFL,30.66635,-100.9706833,7699897,5447202,3686621,67.7
PD3-29,SPE,B1238,BFL,SPE.34.G2,West,106.49,5.54,235.7446809,0.0823,0.0235,93.92971246,355,15.5,327,38.5,12589.5,HAL_I,HAL_I_II,HAL_I_BFL,30.66635,-100.9706833,6440751,4586444,3044869,66.4
PD4-11,SPJ,K1705,KINGS,SPJ.2.G2,CenTex,70.39,11.1,185.9296482,0.1581,0.0597,83.319221,569,22,297,105,31185,HAL_I,HAL_I_I,HAL_I_KINGS,30.4700333,-99.7308,6643936,4669047,3098093,66.4
PD4-12,SPJ,K2204,KINGS,SPJ.2.G2,CenTex,105.19,14.05,186.0927152,0.2291,0.0755,89.09512761,573,17.5,251,204,51204,HAL_I,HAL_I_I,HAL_I_KINGS,30.4700333,-99.7308,6141837,4287504,2902795,67.7
PD4-13,SPJ,K2306,KINGS,SPJ.2.G2,CenTex,126.09,12.08,227.0676692,0.1648,0.0532,83.09754281,580,23,345,127.5,43987.5,HAL_I,HAL_I_I,HAL_I_KINGS,30.4700333,-99.7308,6238257,4286551,2875005,67.1
PD4-14,UVL,K1003,KINGS,UVL.1A.G3,Sym,97.69,9.18,234.7826087,0.1285,0.0391,92.16494845,572,13,253,249.5,63123.5,HAL_II,HAL_II_I,HAL_II_KINGS,29.598286,-100.025269,5551542,3887951,2382973,61.3
PD4-15,UVL,K1110,KINGS,UVL.1A.G3,Sym,97.19,11.7,231.6831683,0.1517,0.0505,89.63684677,592,14.5,325,480,156000,HAL_II,HAL_II_I,HAL_II_KINGS,29.598286,-100.025269,7418773,4982008,3170074,63.6
PD4-16,UVL,K2412,KINGS,UVL.1A.G3,Sym,92.89,10.32,224.8366013,0.1547,0.0459,82.23733938,628,18.5,390,141.5,55185,HAL_II,HAL_II_I,HAL_II_KINGS,29.598286,-100.025269,7047177,4956641,3186219,64.3
PD4-17,CBS,K2415,KINGS,CBS.6.G1,CenTex,93.39,8.46,188,0.1128,0.045,77.75229358,540,19.5,326,105,34230,HAL_I,HAL_I_I,HAL_I_KINGS,31.0574383,-98.4839367,7098029,4884230,3092039,63.3
PD4-18,CBS,K2508,KINGS,CBS.6.G1,CenTex,100.79,7.74,193.9849624,0.101,0.0399,77.73536896,592,21,369,89.5,33025.5,HAL_I,HAL_I_I,HAL_I_KINGS,31.0574383,-98.4839367,7455206,5264538,3312153,62.9
PD4-19,CBS,K2617,KINGS,CBS.6.G1,CenTex,149.29,7.9,198.4924623,0.1068,0.0398,79.28994083,658,20,433,120.5,52176.5,HAL_I,HAL_I_I,HAL_I_KINGS,31.0574383,-98.4839367,7147001,5162927,3451556,66.9
PD4-20,HAL,K1706,KINGS,HAL.2.G1,CenTex,101.99,12.66,305.7971014,0.1958,0.0414,87.28094969,549,19,375,177,66375,HAL_I,HAL_I_I,HAL_I_KINGS,30.185022,-97.873979,7093992,4919945,3150712,64
PD4-21,SPJ,B1008,BFL,SPJ.2.G2,CenTex,102.69,8.72,215.308642,0.1224,0.0405,93.38654504,444,13,257,95.5,24543.5,HAL_I,HAL_I_I,HAL_I_BFL,30.4700333,-99.7308,7419324,5292217,3687349,69.7
PD4-22,SPJ,B1015,BFL,SPJ.2.G2,CenTex,81.49,10.31,199.8062016,0.1446,0.0516,91.8065153,484,11.5,184,183.5,33764,HAL_I,HAL_I_I,HAL_I_BFL,30.4700333,-99.7308,6745950,4599157,3043442,66.2
PD4-23,SPJ,B1237,BFL,SPJ.2.G2,CenTex,64.59,7.78,221.0227273,0.1073,0.0352,87.81973203,442,16,179,91,16289,HAL_I,HAL_I_I,HAL_I_BFL,30.4700333,-99.7308,8643672,5832151,3884938,66.6
PD4-24,UVL,B1026,BFL,UVL.1A.G3,Sym,79.99,6.72,252.6315789,0.0865,0.0266,90.62027231,387,12.5,234,172.5,40365,HAL_II,HAL_II_I,HAL_II_BFL,29.598286,-100.025269,7702105,5398187,3598708,66.7
PD4-25,UVL,B1221,BFL,UVL.1A.G3,Sym,269.4,8.35,206.1728395,0.1185,0.0405,89.44954128,376,14,640,255,163200,HAL_II,HAL_II_I,HAL_II_BFL,29.598286,-100.025269,7675925,5339650,3225201,60.4
PD4-26,UVL,B1326,BFL,UVL.1A.G3,Sym,243.4,9.53,269.9716714,0.1266,0.0353,90.48562934,368,12.5,462,196.5,90783,HAL_II,HAL_II_I,HAL_II_BFL,29.598286,-100.025269,7001152,5092670,3280541,64.4
PD4-27,CBS,B1207,BFL,CBS.6.G1,CenTex,45.79,4.67,244.5026178,0.0586,0.0191,92.94117647,364,11.5,375,58,21750,HAL_I,HAL_I_I,HAL_I_BFL,31.0574383,-98.4839367,7370216,5247516,3557044,67.8
PD4-28,CBS,B1332,BFL,CBS.6.G1,CenTex,131.39,9.44,228.0193237,0.1308,0.0414,85.87896254,437,14.5,563,118.5,66715.5,HAL_I,HAL_I_I,HAL_I_BFL,31.0574383,-98.4839367,6780545,4826587,3100820,64.2
PD4-29,CBS,B1634,BFL,CBS.6.G1,CenTex,61.79,6.48,229.787234,0.0796,0.0282,91.45907473,492,16.5,370,121,44770,HAL_I,HAL_I_I,HAL_I_BFL,31.0574383,-98.4839367,5924228,4194372,2889084,68.9
PD4-30,HAL,B1003,BFL,HAL.2.G1,CenTex,6.29,6.55,224.3150685,0.0996,0.0292,93.36870027,607,13,51,88.5,4513.5,HAL_I,HAL_I_I,HAL_I_BFL,30.185022,-97.873979,5509338,3890229,2598642,66.8
PD5-14,CHA,K1211,KINGS,CHA.2.G1,West,55.29,8.32,202.9268293,0.136,0.041,88.04448563,551,19,161,122.5,19722.5,HAL_I,HAL_I_II,HAL_I_KINGS,35.60518,-102.29663,6482315,4932733,3342370,67.8
PD5-15,CHA,K1805,KINGS,CHA.2.G1,West,116.89,8.45,191.1764706,0.1289,0.0442,80.4368471,474,14,427,72.5,30957.5,HAL_I,HAL_I_II,HAL_I_KINGS,35.60518,-102.29663,7638722,5995356,4312692,71.9
PD5-16,CHA,K2808,KINGS,CHA.2.G1,West,92.29,12.88,263.9344262,0.1936,0.0488,83.3621186,684,19.5,360,103,37080,HAL_I,HAL_I_II,HAL_I_KINGS,35.60518,-102.29663,7671748,6026221,4225584,70.1
PD5-17,CRC,K1606,KINGS,CRC.1.G1,West,120.19,8.92,172.2007722,0.1695,0.0518,91.31109387,498,17,358,157,56206,HAL_I,HAL_I_II,HAL_I_KINGS,35.52981,-102.26508,7189925,5236618,3519446,67.2
PD5-18,CRC,K1912,KINGS,CRC.1.G1,West,60.69,7.49,224.251497,0.0894,0.0334,81.15942029,544,15,272,85,23120,HAL_I,HAL_I_II,HAL_I_KINGS,35.52981,-102.26508,7484573,5560496,3743901,67.3
PD5-19,CRC,K2614,KINGS,CRC.1.G1,West,82.69,5.42,200,0.0736,0.0271,88.23529412,670,21,269,140,37660,HAL_I,HAL_I_II,HAL_I_KINGS,35.52981,-102.26508,7473898,5763019,4230279,73.4
PD5-20,HAL,K2006,KINGS,HAL.2.G1,CenTex,213.9,13.02,199.6932515,0.1944,0.0652,80.19863439,623,18.5,494,163.5,80769,HAL_I,HAL_I_I,HAL_I_KINGS,30.185022,-97.873979,8085243,6242026,4258661,68.2
PD5-24,CHA,B1022,BFL,CHA.2.G1,West,57.59,5.36,308.045977,0.0696,0.0174,95.42961609,381,9.5,208,55.5,11544,HAL_I,HAL_I_II,HAL_I_BFL,35.60518,-102.29663,7040284,5647205,3921378,69.4
PD5-25,CHA,B1111,BFL,CHA.2.G1,West,16.29,3.62,241.3333333,0.0512,0.015,95.76719577,324,6.5,77,66,5082,HAL_I,HAL_I_II,HAL_I_BFL,35.60518,-102.29663,7058696,5521116,3978373,72.1
PD5-26,CHA,B1218,BFL,CHA.2.G1,West,123.69,5.72,228.8,0.0715,0.025,86.43122677,456,15,417,64.3,26813.1,HAL_I,HAL_I_II,HAL_I_BFL,35.60518,-102.29663,8523017,6661389,4447616,66.8
PD5-27,CRC,B1017,BFL,CRC.1.G1,West,53.69,5.38,245.6621005,0.0788,0.0219,96.27749577,377,12.5,200,99.7,19940,HAL_I,HAL_I_II,HAL_I_BFL,35.52981,-102.26508,7415042,5783185,4021085,69.5
PD5-28,CRC,B1025,BFL,CRC.1.G1,West,10.59,8.06,251.0903427,0.113,0.0321,91.93181818,397,13,113,111.5,12599.5,HAL_I,HAL_I_II,HAL_I_BFL,35.52981,-102.26508,8144444,6372746,4436493,69.6
PD5-29,CRC,B1524,BFL,CRC.1.G1,West,56.19,6.52,221.7687075,0.0867,0.0294,94.55445545,351,14,251,110,27610,HAL_I,HAL_I_II,HAL_I_BFL,35.52981,-102.26508,6915648,5416660,3582341,66.1
PD5-30,HAL,B1429,BFL,HAL.2.G1,CenTex,71.59,7.38,205,0.1117,0.036,91.86893204,463,14.5,417,167,69639,HAL_I,HAL_I_I,HAL_I_BFL,30.185022,-97.873979,5817032,4591124,3099445,67.5
